logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano
est do encanamento;726;apto 1001 edf ductus;406000,00;Casa Amarela;Recife;PE;1990;2180;125,85;0,02042;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-04-09;Bom;Apartamento;276305,65;21385;-8.030562;-34.916585;2026
est do encanamento;726;apto 0502 edf ductus;350000,00;Casa Amarela;Recife;PE;1990;2180;111,14;0,01803;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-02-20;Bom;Apartamento;0,00;21385;-8.030562;-34.916585;2026
est do encanamento;846;sala 702 emp santa luzia;250000,00;Casa Amarela;Recife;PE;2018;1930;75,29;0,00866;Superior;Sala > 4 Pavimentos;COMERCIAL SEM LIXO ORGANICO;2026-02-24;Bom;Sala;0,00;21385;-8.030261;-34.917591;2026
est do encanamento;846;sala 703 emp santa luzia;250000,00;Casa Amarela;Recife;PE;2018;1930;75,29;0,00866;Superior;Sala > 4 Pavimentos;COMERCIAL SEM LIXO ORGANICO;2026-02-24;Bom;Sala;0,00;21385;-8.030261;-34.917591;2026
est do encanamento;846;sala 705 emp santa luzia;250000,00;Casa Amarela;Recife;PE;2018;1930;75,29;0,00866;Superior;Sala > 4 Pavimentos;COMERCIAL SEM LIXO ORGANICO;2026-02-24;Bom;Sala;0,00;21385;-8.030261;-34.917591;2026
est do encanamento;846;sala 706 emp santa luzia;250000,00;Casa Amarela;Recife;PE;2018;1930;75,29;0,00866;Superior;Sala > 4 Pavimentos;COMERCIAL SEM LIXO ORGANICO;2026-02-24;Bom;Sala;0,00;21385;-8.030261;-34.917591;2026
est do encanamento;846;sala 906 emp santa luzia;250000,00;Casa Amarela;Recife;PE;2018;1930;75,29;0,00866;Superior;Sala > 4 Pavimentos;COMERCIAL COM LIXO ORGANICO;2026-06-29;Bom;Sala;0,00;21385;-8.030261;-34.917591;2026
est do encanamento;846;sala 704 emp santa luzia;250000,00;Casa Amarela;Recife;PE;2018;1930;75,29;0,00866;Superior;Sala > 4 Pavimentos;COMERCIAL SEM LIXO ORGANICO;2026-02-24;Bom;Sala;0,00;21385;-8.030261;-34.917591;2026
est do encanamento;846;sala 701 emp santa luzia;250000,00;Casa Amarela;Recife;PE;2018;1930;75,29;0,00866;Superior;Sala > 4 Pavimentos;COMERCIAL SEM LIXO ORGANICO;2026-02-24;Bom;Sala;0,00;21385;-8.030261;-34.917591;2026
est das ubaias;195;apto 101 edf eternity;700000,00;Casa Amarela;Recife;PE;2008;1755,9;132,88;0,01765;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-01-27;Bom;Apartamento;138600,00;61999;-8.030214;-34.918484;2026
