"logradouro";"numero";"complemento";"valor_avaliacao";"bairro";"cidade";"uf";"ano_construcao";"area_terreno";"area_construida";"fracao_ideal";"padrao_acabamento";"tipo_construcao";"tipo_ocupacao";"data_transacao";"estado_conservacao";"tipo_imovel";"sfh";"cod_logradouro";"latitude";"longitude";"ano";"Distrito"
"rua engenheiro sampaio";"68";"apto 604 splendid rosarinho";"250000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-12-09";"Bom";"Apartamento";"120175.23";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 606 splendid rosarinho";"250000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"57,12";"0,00693";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-05-21";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 806 splendid rosarinho";"260000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"57,12";"0,00693";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-09-23";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 903 splendid rosarinho";"274989.14";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-08-07";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 902 splendid rosarinho";"398692.58";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-06-17";"Bom";"Apartamento";"285925.91";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 904 splendid rosarinho";"255000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-06-15";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 905 splendid rosarinho";"400000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-06-16";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 905 splendid rosarinho";"400000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-07-06";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1001 splendid rosarinho";"260000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"57,12";"0,00693";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-08-25";"Bom";"Apartamento";"126163.75";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1004 splendid rosarinho";"265000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-05-25";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1002 splendid rosarinho";"380000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-08-13";"Bom";"Apartamento";"293000.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1003 splendid rosarinho";"265000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-05-25";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1005 splendid rosarinho";"390000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-06-30";"Bom";"Apartamento";"237397.20";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1006 splendid rosarinho";"255000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"57,12";"0,00693";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-06-15";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1101 splendid rosarinho";"260000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"57,12";"0,00693";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-07-28";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1102 splendid rosarinho";"420000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-10-05";"Bom";"Apartamento";"250374.23";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1103 splendid rosarinho";"265000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-07-03";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
