bairro_padronizado;endereco_edificio;logradouro_canonico;total_transacoes;total_revendas;m2_privativo_medio;valor_medio_corrigido;area_privativa_media;latitude;longitude
Aflitos;Rua Luiz Rodolfo De Araujo, 55 - Aflitos;Rua Luiz Rodolfo De Araujo;5;0;6722.33;367240.66;54.63;-8.038645;-34.89842
Aflitos;Rua Manuel De Carvalho, 287 - Aflitos;Rua Manuel De Carvalho;5;2;4098.81;607156.21;148.13;-8.039602;-34.896256
Aflitos;Rua Quarenta E Oito, 713 - Aflitos;Rua Quarenta E Oito;5;5;5143.06;156148.8;30.36;-8.040468;-34.895141
Aflitos;Rua Carneiro Vilela, 343 - Aflitos;Rua Carneiro Vilela;4;0;4725.76;410196.01;86.8;-8.039401;-34.895194
Aflitos;Rua Manuel De Carvalho, 93 - Aflitos;Rua Manuel De Carvalho;4;4;3892.31;861017.55;221.21;-8.041388;-34.895316
Aflitos;Rua Quarenta E Oito, 595 - Aflitos;Rua Quarenta E Oito;4;2;4154.86;636525.28;153.2;-8.041518;-34.894367
Aflitos;Rua Manuel De Carvalho, 476 - Aflitos;Rua Manuel De Carvalho;3;2;3647.34;310462.05;85.12;-8.038096;-34.895613
Aflitos;Rua Quarenta E Oito, 725 - Aflitos;Rua Quarenta E Oito;3;2;4128.72;656549.02;159.02;-8.040235;-34.895131
Aflitos;Rua Carneiro Vilela, 133 - Aflitos;Rua Carneiro Vilela;2;2;3595.05;869427.76;241.84;-8.039777;-34.893611
Aflitos;Rua Carneiro Vilela, 329 - Aflitos;Rua Carneiro Vilela;2;2;11060.74;1620397.95;146.5;-8.039421;-34.895096
Aflitos;Rua Carneiro Vilela, 517 - Aflitos;Rua Carneiro Vilela;2;2;4224.61;1097849.2;259.87;-8.038814;-34.896788
Aflitos;Rua Carneiro Vilela, 534 - Aflitos;Rua Carneiro Vilela;2;2;12924.44;3354537.22;259.55;-8.038302;-34.896796
Aflitos;Rua Quarenta E Oito, 581 - Aflitos;Rua Quarenta E Oito;2;0;4712.46;592104.69;147.71;-8.041491;-34.894212
Aflitos;Rua Quarenta E Oito, 605 - Aflitos;Rua Quarenta E Oito;2;0;3978.68;299244.87;75.03;-8.041351;-34.894415
Aflitos;Rua Senador Pedro Correia, 45 - Aflitos;Rua Senador Pedro Correia;2;2;5921.12;823035.73;139.0;-8.038698;-34.895432
Aflitos;Rua Teles Junior, 125 - Aflitos;Rua Teles Junior;2;0;4814.18;630850.66;131.04;-8.037779;-34.896913
Aflitos;Rua Amapa, 37 - Aflitos;Rua Amapa;1;0;3930.61;1519968.19;386.7;-8.04019;-34.893745
Aflitos;Rua Carneiro Vilela, 211 - Aflitos;Rua Carneiro Vilela;1;0;3065.71;1008558.33;328.98;-8.039609;-34.894262
Aflitos;Rua Carneiro Vilela, 356 - Aflitos;Rua Carneiro Vilela;1;0;5556.11;745241.09;134.13;-8.038995;-34.895275
Aflitos;Rua Carneiro Vilela, 470 - Aflitos;Rua Carneiro Vilela;1;0;6569.77;1777188.5;270.51;-8.03861;-34.896134
Aflitos;Rua Manuel De Carvalho, 117 - Aflitos;Rua Manuel De Carvalho;1;0;4106.69;1648835.84;401.5;-8.041245;-34.895483
Aflitos;Rua Manuel De Carvalho, 129 - Aflitos;Rua Manuel De Carvalho;1;0;4674.53;1586909.76;339.48;-8.041185;-34.895561
Aflitos;Rua Manuel De Carvalho, 134 - Aflitos;Rua Manuel De Carvalho;1;1;10044.7;2360504.05;235.0;-8.040883;-34.895113
Aflitos;Rua Manuel De Carvalho, 444 - Aflitos;Rua Manuel De Carvalho;1;0;4781.98;1243601.79;260.06;-8.03837;-34.895579
Aflitos;Rua Manuel De Carvalho, 464 - Aflitos;Rua Manuel De Carvalho;1;0;8003.26;1698212.27;212.19;-8.038267;-34.89557
Aflitos;Rua Natercio De Holanda, 1 - Aflitos;Rua Natercio De Holanda;1;0;6856.07;1288940.26;188.0;-8.041445;-34.894842
Aflitos;Rua Natercio De Holanda, 3 - Aflitos;Rua Natercio De Holanda;1;0;3467.94;710408.18;204.85;-8.041557;-34.894669
Aflitos;Rua Quarenta E Oito, 651 - Aflitos;Rua Quarenta E Oito;1;0;4867.65;1425150.48;292.78;-8.04105;-34.894715
Aflitos;Rua Quarenta E Oito, 665 - Aflitos;Rua Quarenta E Oito;1;0;4881.2;984244.27;201.64;-8.040929;-34.894796
Aflitos;Rua Quarenta E Oito, 674 - Aflitos;Rua Quarenta E Oito;1;0;9137.67;1770424.45;193.75;-8.040568;-34.894432
Aflitos;Rua Quarenta E Oito, 692 - Aflitos;Rua Quarenta E Oito;1;0;7269.15;1790608.92;246.33;-8.040464;-34.894488
Aflitos;Rua Quarenta E Oito, 701 - Aflitos;Rua Quarenta E Oito;1;1;2449.53;597145.38;243.78;-8.040557;-34.895117
Aflitos;Rua Senador Pedro Correia, 46 - Aflitos;Rua Senador Pedro Correia;1;0;3002.89;412386.51;137.33;-8.038735;-34.895233
Aflitos;Rua Senador Pedro Correia, 56 - Aflitos;Rua Senador Pedro Correia;1;0;3354.64;441135.36;131.5;-8.038634;-34.895215
Afogados;Rua Francisco Porfirio, 104 - Afogados;Rua Francisco Porfirio;11;0;5328.07;296322.22;55.74;-8.079374;-34.911438
Afogados;Rua Coronel Alfredo Duarte, 630 - Afogados;Rua Coronel Alfredo Duarte;8;3;3544.67;190348.72;53.7;-8.069178;-34.91347
Afogados;Rua Olegario Mariano, 55 - Afogados;Rua Olegario Mariano;5;2;3283.59;196424.83;59.93;-8.081978;-34.921728
Afogados;Rua Jose Santos Araquan, 86 - Afogados;Rua Jose Santos Araquan;4;0;3001.75;216026.81;73.73;-8.076064;-34.916292
Afogados;Rua Vinte E Um De Abril, 146 - Afogados;Rua Vinte E Um De Abril;4;4;5229.8;570048.5;109.0;-8.077339;-34.907509
Afogados;Estrada Do Bongi Armando Da Fonte, 355 - Afogados;Estrada Do Bongi Armando Da Fonte;3;3;4281.69;22770004.81;5318.0;-8.068202;-34.911542
Afogados;Rua Coronel Alfredo Duarte, 255 - Afogados;Rua Coronel Alfredo Duarte;3;0;2172.09;124417.19;57.28;-8.07131;-34.910122
Afogados;Rua Coronel Alfredo Duarte, 556 - Afogados;Rua Coronel Alfredo Duarte;3;2;3568.46;158582.39;44.44;-8.069672;-34.912492
Afogados;Rua Escritor Alvaro Lins, 208 - Afogados;Rua Escritor Alvaro Lins;3;0;3390.27;181786.41;53.62;-8.068534;-34.912989
Afogados;Rua Escritor Alvaro Lins, 75 - Afogados;Rua Escritor Alvaro Lins;3;3;2817.65;164494.15;58.38;-8.069567;-34.912092
Afogados;Rua Manoel Rodrigues Do Passo, 118 - Afogados;Rua Manoel Rodrigues Do Passo;3;2;3771.03;327325.53;86.8;-8.081615;-34.917939
Afogados;Rua Vinte E Um De Abril, 22 - Afogados;Rua Vinte E Um De Abril;3;3;5537.48;191042.92;34.5;-8.077474;-34.907527
Afogados;Rua Augusto Calheiros, 38 - Afogados;Rua Augusto Calheiros;2;2;2699.73;283471.74;105.0;-8.082264;-34.909111
Afogados;Rua Bandeirante, 94 - Afogados;Rua Bandeirante;2;2;3435.42;1009325.52;293.8;-8.081054;-34.911357
Afogados;Rua Coroata, 12 - Afogados;Rua Coroata;2;2;3242.38;564659.66;174.15;-8.069524;-34.913549
