endereco_edificio;bairro_padronizado;logradouro_fmt;numero_fmt;total_transacoes;m2_privativo_medio;m2_privativo_mediana;valor_medio_corrigido;valor_min_corrigido;valor_max_corrigido;area_privativa_media;latitude;longitude
Rua Ester Foigel, 72 - Iputinga;Iputinga;Rua Ester Foigel;72;153;6766.4;6849.78;474708.95;50246.4;586894.26;70.19;-8.044157;-34.933634
Rua Frei Jaboatao, 280 - Torre;Torre;Rua Frei Jaboatao;280;152;4978.33;4768.17;325482.6;121152.95;515381.11;65.38;-8.039968;-34.906362
Rua Rio Pajeu, 502 - Ibura;Ibura;Rua Rio Pajeu;502;151;3073.58;3057.86;131861.79;85059.5;224967.21;42.9;-8.124098;-34.927759
Rua Prof Julio Ferreira De Melo, 510 - Boa Viagem;Boa Viagem;Rua Prof Julio Ferreira De Melo;510;150;6910.87;7016.68;947204.27;52052.44;2785438.41;135.65;-8.116714;-34.898912
Rua Nogueira De Souza, 305 - Pina;Pina;Rua Nogueira De Souza;305;148;6192.67;6923.08;355211.13;130118.33;766534.85;57.55;-8.086645;-34.889087
Rua Estacio Coimbra, 171 - Paissandu;Paissandu;Rua Estacio Coimbra;171;147;7848.37;7991.54;404949.74;99476.07;592188.19;51.9;-8.061129;-34.899326
Rua Engenho Poeta, 129 - Caxanga;Caxanga;Rua Engenho Poeta;129;147;8020.52;7963.96;605132.72;475063.4;852091.6;75.58;-8.032026;-34.95215
Rua Luiz De Faria Barbosa, 306 - Boa Viagem;Boa Viagem;Rua Luiz De Faria Barbosa;306;146;6319.34;7758.66;953201.0;269595.72;1680000.0;150.77;-8.123577;-34.901191
Rua Gomes Coutinho, 120 - Tamarineira;Tamarineira;Rua Gomes Coutinho;120;144;8257.99;8604.26;522897.92;367244.41;647803.1;63.31;-8.028672;-34.905502
Rua Pedro Paes Mendonca, 200 - Boa Viagem;Boa Viagem;Rua Pedro Paes Mendonca;200;143;10821.35;10713.12;1457882.3;224063.54;1926207.66;134.79;-8.114243;-34.901996
Av Beberibe Santa Cruz Futebol Clube, 3530 - Porto Da Madeira;Porto Da Madeira;Av Beberibe Santa Cruz Futebol Clube;3530;143;3813.77;3692.48;238657.48;131906.87;514216.35;62.73;-8.006921;-34.888587
Rua Rio Pajeu, 482 - Ibura;Ibura;Rua Rio Pajeu;482;142;3260.36;3148.08;139869.66;30922.87;214873.07;42.9;-8.124098;-34.927759
Rua Hermogenes De Morais, 252 - Madalena;Madalena;Rua Hermogenes De Morais;252;141;8527.73;8764.84;928591.91;94151.32;1096960.49;108.91;-8.056136;-34.907891
Rua Carlos Pereira Falcao, 978 - Boa Viagem;Boa Viagem;Rua Carlos Pereira Falcao;978;141;8478.54;8623.73;496870.65;87059.37;660462.0;58.65;-8.125203;-34.906682
Rua Engenheiro Sampaio, 59 - Rosarinho;Rosarinho;Rua Engenheiro Sampaio;59;140;11008.81;10977.42;1265207.26;803616.78;1722938.05;115.0;-8.0341;-34.897511
Rua Zeferino Agra, 669 - Agua Fria;Agua Fria;Rua Zeferino Agra;669;140;6562.43;6643.3;435090.15;338212.25;535861.79;66.3;-8.023078;-34.889052
Rua Bom Pastor, 1635 - Cordeiro;Cordeiro;Rua Bom Pastor;1635;139;4539.79;4838.13;213415.61;40122.41;324694.7;47.01;-8.050921;-34.938017
Rua General Joaquim Inacio, 160 - Boa Vista;Boa Vista;Rua General Joaquim Inacio;160;139;10956.59;10964.46;361247.82;21446.85;786240.23;33.95;-8.062995;-34.892614
Rua Floriano Francisco De Oliveira, 111 - Torre;Torre;Rua Floriano Francisco De Oliveira;111;138;7128.09;7777.27;702657.12;112996.41;1253912.5;97.1;-8.044381;-34.909827
Rua Oliveira Fonseca, 351 - Campo Grande;Campo Grande;Rua Oliveira Fonseca;351;138;5181.39;4976.27;310526.51;153657.88;503037.74;59.98;-8.027464;-34.880164
Rua Professor Souto Maior, 54 - Casa Amarela;Casa Amarela;Rua Professor Souto Maior;54;137;7082.25;6977.08;504819.5;323594.64;786541.08;71.51;-8.027301;-34.907572
Rua Amalia Bernardino De Souza, 454 - Boa Viagem;Boa Viagem;Rua Amalia Bernardino De Souza;454;136;6133.01;6106.34;502999.83;113308.21;776752.96;81.98;-8.125389;-34.908631
Rua Menezes Drumond, 271 - Madalena;Madalena;Rua Menezes Drumond;271;136;9156.83;9302.04;686026.73;473040.7;881121.59;74.92;-8.051098;-34.909896
Rua Felix De Brito E Melo, 202 - Boa Viagem;Boa Viagem;Rua Felix De Brito E Melo;202;136;9459.67;9289.68;1491695.66;1245662.54;2271992.06;157.69;-8.116719;-34.89852
Rua Professor Julio Ferreira De Melo, 562 - Boa Viagem;Boa Viagem;Rua Professor Julio Ferreira De Melo;562;135;7624.78;8660.88;1257795.82;51548.31;2911890.38;161.12;-8.116714;-34.898912
Rua Joao Fernandes Vieira, 544 - Boa Vista;Boa Vista;Rua Joao Fernandes Vieira;544;134;7980.43;8139.14;703214.2;413053.13;977115.69;88.47;-8.051468;-34.892475
Rua General Joaquim Inacio, 830 - Paissandu;Paissandu;Rua General Joaquim Inacio;830;134;6634.33;7370.96;307368.44;43899.89;517750.05;43.02;-8.062209;-34.896115
Rua Da Aurora, 1301 - Santo Amaro;Santo Amaro;Rua Da Aurora;1301;134;9725.49;9708.47;1334020.08;1039106.09;1683820.84;137.15;-8.052874;-34.876856
Rua Desembargador Motta Junior, 54 - Casa Amarela;Casa Amarela;Rua Desembargador Motta Junior;54;132;6438.8;6347.13;644080.66;98266.4;876725.8;100.03;-8.026147;-34.910414
Rua Felix De Brito E Melo, 585 - Boa Viagem;Boa Viagem;Rua Felix De Brito E Melo;585;131;7078.07;8090.35;914002.08;216694.07;1688316.75;130.13;-8.116436;-34.89874
